bank_code;rtgs;bank_name
002;BRINIDJAXXX;BANK BRI
008;BMRIIDJA;MANDIRI
009;BNINIDJAXXX;BANK BNI
011;BDINIDJAXXX;BANK DANAMON
013;BBBAIDJAXXX;BANK PERMATA
014;CENAIDJAXXX;BCA
016;IBBKIDJAXXX;MAYBANK
019;PINBIDJAXXX;BANK PANIN
020;ARTANIAGA;BANK ANK
022;BNIAIDJAXXX;CIMB NIAGA
023;BBIJIDJAXXX;BANK UOB
028;NISPIDJAXXX;OCBC NISP
031;CITIIDJXXXX;CITIBANK
036;MCORIDJA;CCB INDONESIA
037;ARTGIDJAXXX;ARTHA GRAHA
042;BOTKIDJXXXX;"MUFG BANK; LTD"
046;DBSBIDJAXXX;BANK DBS
050;SCBLIDJXXXX;STANCHART
054;CRLYIDJA;BANK CAPITAL
061;ANZBIDJXXXX;ANZ
069;BKCHIDJAXXX;BANK OF CHINA
076;BBAIIDJAXXX;BANK BUMI ARTA
087;HSBCIDJAXXX;BANK HSBC
088;ANTDIDJDXXX;BANK ANDA
089;HAGABANK;RABOBANK
093;IFI;BANK IFI
095;CICTIDJAXXX;JTRUST BANK
097;MAYAIDJAXXX;BANK MAYAPADA
110;PDJBIDJAXXX;BANK BJB
111;BDKIIDJ1;BANK DKI
112;PDYKIDJ1;BPD DIY
113;PDJGIDJ1;BANK JATENG
114;PDJTIDJ1;BANK JATIM
115;PDJMIDJ1;BANK JAMBI
116;PDACIDJ1;BANK ACEH
117;PDSUIDJ1;BANK SUMUT
118;PDSBIDJ1;BANK NAGARI
119;PDRIIDJAXXX;BPD RIAU
120;BSSPIDSPXXX;SUMSELBABEL
121;PDLPIDJ1;LAMPUNG
122;PDKSIDJ1;BPD KALSEL
123;PDKBIDJ1;BPD KALBAR
124;PDKTIDJ1;BPD KALTIM
125;PDKGIDJ1;BPD KALTENG
126;PDWSIDJ1;BPD SULSEL
127;PDWUIDJ1;BANK SULUT
128;PDNBIDJ1;BANK NTB
129;ABALIDBSXXX;BPD BALI
130;PDNTIDJ1;BANK NTT
131;PDMLIDJ1;BANK MALUKU
132;PDIJIDJ1;BPD PAPUA
133;PDBKIDJ1;BANK BENGKULU
135;PDWRIDJ1;BANK SULTRA
137;;B BANTEN
145;NUPAIDJ6XXX;BNP
146;SWBAIDJ1;BOII
147;MUABIDJAXXX;BANK MUAMALAT
151;MEDHIDS1;BANK MESTIKA
152;MEEKIDJ1XXX;BANK SHINHAN
153;SBJKIDJAXXX;BANK SINARMAS
157;MASDIDJ1XXX;BANK MASPION
161;GNESIDJAXXX;BANK GANESHA
164;ICBKIDJAXXX;ICBC IND
167;AWANIDJAXXX;BANK QNB
200;BTANIDJAXXX;BANK BTN
212;BSDRIDJAXXX;WOORI SAUDARA
213;TAPEIDJ1XXX;BANK BTPN
405;SWAGIDJ1;VICTORIA SY
422;DJARIDJ1XXX;BRI SYARIAH
425;SYJBIDJ1;BJB SYARIAH
426;MEGAIDJAXXX;BANK MEGA
427;;BNI SYARIAH
441;BBUKIDJAXXX;BANK BUKOPIN
451;BSMDIDJA;SYARIAH MANDIRI
472;JSABIDJ1;BANK JASA JKT
484;HNBNIDJAXXX;BANK HANA
485;BUMIIDJAXXX;MNC BANK
490;YUDBIDJ1;BANK BYB
494;AGTBIDJAXXX;BANK AGRO
498;IDMOIDJ1;SBI INDONESIA
501;ROYBIDJ1;BANK ROYAL
503;LFIBIDJ1;NOBUBANK
506;BUTGIDJ1;MEGA SYARIAH
513;INPBIDJ1;BANK INA
517;ARFAIDJ1;PANIN DUBAI
520;PMASIDJ1;PRIMAMAS
521;SDOBIDJ1;SY BUKOPIN
523;BDIPIDJ1;S.SAMPOERNA
525;AKTBIDJ1;BARCLAYS
526;LMANIDJ1;DINAR
535;KSEBIDJ1;BKSJHTRAAN
536;UIBAIDJ1;BCA SYARIAH
542;ATOSIDJ1;BANK ARTOS
547;PUBAIDJ1;BTPN SYARIAH
548;MASBIDJ1;BANK MAS
553;YORAIDJ1;BANK MAYORA
555;IXSLIDJ1;BANK INDEX
559;CNBAIDJ1;CNB
564;SIHBIDJ1;BANK MANTAP
566;VICTIDJ1;BANK VICTORIA
567;HRDAIDJ1;HARDA
600;BPR;BPR/LSB
688;;BPR KS
699;;BANK EKA
770;;ALTOPAY
775;;SGODPAY
777;;FINNET
789;INDOSAT;PAYPRO
899;;DOKU
911;;TCASH
945;FINBIDJA;BANK AGRIS
949;CTCBIDJAXXX;CHINATRUST
950;BICNIDJAXXX;COMMONWEALTH
